text,label
"Saya mengalami ruam kulit, komedo, luka gores",Jerawat
"Keluhan utama: ruam kulit, jerawat bernanah, komedo, luka gores",Jerawat
"Keluhan utama: lemas, perubahan suasana hati, berat badan turun, gelisah, berkeringat, diare, detak jantung cepat, rasa lapar berlebihan, lemah otot, mudah marah, haid tidak normal",Hipertiroid
Gejala yang dialami: pengecilan otot serta bercak di tenggorokan,HIV/AIDS
"Badan terasa itching disertai muntah, kulit menguning, mual, hilang nafsu makan, sakit perut, mata menguning",Kolestasis Kronis
"Keluhan utama: sakit kepala, sakit dada, pusing, hilang keseimbangan, sulit berkonsentrasi",Hypertension
"Saya mengalami muntah, lemas, cemas, berkeringat, sakit kepala, mual, penglihatan kabur, rasa lapar berlebihan, bibir kering dan kesemutan, bicara pelat, mudah marah, jantung berdebar",Hipoglikemia (Gula Darah Rendah)
Gejala yang dialami: lemah otot serta leher kaku,Radang Sendi
"Saya mengalami itching, lemas, lesu, kulit menguning, urine berwarna gelap, hilang nafsu makan, sakit perut, urine kuning pekat, mata menguning, tidak enak badan, menerima transfusi darah, menerima suntikan tidak steril",Hepatitis B
"Badan terasa asam lambung naik disertai gangguan pencernaan, sakit kepala, penglihatan kabur, rasa lapar berlebihan, leher kaku, depresi, mudah marah, gangguan pengelihatan",Migrain
"Dok, saya merasa rasa terbakar saat buang air kecil dan rasa ingin pipis terus",Infeksi Saluran Kemih
"Saya mengalami lemas, berat badan turun, gelisah, lesu, kadar gula tidak teratur, penglihatan kabur, obesitas, rasa lapar berlebihan, nafsu makan meningkat, sering buang air kecil",Diabetes
"Pasien mengeluh nyeri sendi, muntah, lemas, kulit menguning, urine berwarna gelap, mual, hilang nafsu makan, sakit perut dan mata menguning",Hepatitis D
Gejala yang dialami: ruam kulit serta nyeri sendi,Psoriasis
"Dok, saya merasa muntah dan riwayat konsumsi alkohol",Hepatitis Alkoholik
"Saya mengalami muntah, kulit menguning, sakit perut, perut membengkak, perut kembung, riwayat konsumsi alkohol, kelebihan cairan",Hepatitis Alkoholik
"Dok, saya merasa sembelit dan iritasi di anus",Wasir/Ambeien
"Badan terasa nyeri sendi disertai muntah, lemas, demam tinggi, kulit menguning, urine berwarna gelap, mual, hilang nafsu makan, sakit perut, mata menguning, gagal hati akut, koma, pendarahan lambung",Hepatitis E
"Keluhan utama: lemas, berat badan turun, gelisah, lesu, kadar gula tidak teratur, penglihatan kabur, rasa lapar berlebihan, nafsu makan meningkat, sering buang air kecil",Diabetes
"Pasien mengeluh sakit punggung, lemah anggota gerak, sakit leher, pusing dan hilang keseimbangan",Saraf Leher Terjepit
"Saya mengalami lemas, batuk, demam tinggi, sesak napas, dahak berlendir",Asma Bronkial
"Dok, saya merasa nyeri sendi dan nyeri otot",hepatitis A
"Dok, saya merasa itching dan menerima suntikan tidak steril",Hepatitis B
"Pasien mengeluh lemas, batuk, demam tinggi, sesak napas, riwayat keluarga dan dahak berlendir",Asma Bronkial
"Badan terasa bersin terus menerus disertai menggigil, menggigil, mata berair",Alergi
"Keluhan utama: lemas, kulit menguning, mual, hilang nafsu makan, riwayat keluarga",Hepatitis C
"Dok, saya merasa menggigil dan dahak berwarna karat",Pneumonia (Radang Paru)
"Pasien mengeluh asam lambung naik, gangguan pencernaan, sakit kepala, rasa lapar berlebihan, leher kaku, depresi, mudah marah dan gangguan pengelihatan",Migrain
Gejala yang dialami: lemas serta berat badan naik,Hipotiroid
"Pasien mengeluh asam lambung naik, gangguan pencernaan, sakit kepala, penglihatan kabur, rasa lapar berlebihan, leher kaku, depresi, mudah marah dan gangguan pengelihatan",Migrain
"Keluhan utama: itching, muntah, kulit menguning, mual, hilang nafsu makan, sakit perut, mata menguning",Kolestasis Kronis
"Dok, saya merasa itching dan menerima suntikan tidak steril",Hepatitis B
"Saya mengalami muntah, dehidrasi, diare",Gastroenteritis (Muntaber)
"Pasien mengeluh nyeri sendi, muntah, lemas, kulit menguning, urine berwarna gelap, mual, hilang nafsu makan, sakit perut, mata menguning, gagal hati akut, koma dan pendarahan lambung",Hepatitis E
"Saya mengalami lemas, kram, memar, obesitas, kaki bengkak, urat menonjol di betis",Varises
Gejala yang dialami: asam lambung naik serta gangguan pencernaan,Migrain
"Pasien mengeluh itching, muntah, lemas, berat badan turun, demam tinggi, kulit menguning, urine berwarna gelap dan sakit perut",Penyakit Kuning
"Badan terasa itching disertai ruam kulit, sakit perut, rasa terbakar saat buang air kecil",Reaksi Obat/Alergi
"Saya mengalami menggigil, lemas, batuk, demam tinggi, sesak napas, berkeringat, tidak enak badan, dahak, sakit dada, detak jantung cepat, dahak berwarna karat",Pneumonia (Radang Paru)
Gejala yang dialami: rasa terbakar saat buang air kecil serta tidak nyaman di kandung kemih,Infeksi Saluran Kemih
"Pasien mengeluh lemas, kulit menguning, hilang nafsu makan, mata menguning dan riwayat keluarga",Hepatitis C
"Badan terasa muntah disertai sakit kepala, mual, berputar-putar, hilang keseimbangan, tidak stabil",Vertigo
Gejala yang dialami: sakit dada serta pusing,Hypertension
"Saya mengalami lemas, berat badan turun, gelisah, lesu, kadar gula tidak teratur, penglihatan kabur, obesitas, nafsu makan meningkat, sering buang air kecil",Diabetes
"Pasien mengeluh itching, muntah, berat badan turun, demam tinggi, kulit menguning, urine berwarna gelap dan sakit perut",Penyakit Kuning
Gejala yang dialami: muntah serta mata cekung,Gastroenteritis (Muntaber)
"Pasien mengeluh muntah, lemas, cemas, sakit kepala, mual, penglihatan kabur, rasa lapar berlebihan, bibir kering dan kesemutan, bicara pelat, mudah marah dan jantung berdebar",Hipoglikemia (Gula Darah Rendah)
"Dok, saya merasa itching dan menerima suntikan tidak steril",Hepatitis B
"Dok, saya merasa ruam kulit dan kuku meradang",Psoriasis
Gejala yang dialami: ruam kulit serta nyeri sendi,Psoriasis
"Keluhan utama: muntah, sesak napas, berkeringat, sakit dada",Serangan Jantung
"Pasien mengeluh menggigil, muntah, berat badan turun, batuk, demam tinggi, sesak napas, berkeringat, hilang nafsu makan, demam ringan, mata menguning, kelenjar getah bening bengkak, tidak enak badan, dahak, sakit dada dan batuk berdarah",TBC (Tuberkulosis)
"Badan terasa lemas disertai kram, memar, obesitas, kaki bengkak, pembuluh darah bengkak, urat menonjol di betis",Varises
"Dok, saya merasa bersin terus menerus dan menggigil",Alergi
Gejala yang dialami: lemas serta perubahan suasana hati,Hipertiroid
"Pasien mengeluh lemas, kulit menguning, mual, hilang nafsu makan, mata menguning dan riwayat keluarga",Hepatitis C
"Pasien mengeluh menggigil, muntah, lemas, demam tinggi, sakit kepala, mual, sembelit, sakit perut, diare, wajah pucat sakit dan sakit perut",Tifush (Demam Tifoid)
"Saya mengalami bersin terus menerus, menggigil, lemas, batuk, demam tinggi, sakit kepala, kelenjar getah bening bengkak, tidak enak badan, dahak, iritasi tenggorokan, mata merah, tekanan sinus, hidung meler, hidung tersumbat, sakit dada, hilang penciuman, nyeri otot",ISPA/Influenza
"Badan terasa rasa terbakar saat buang air kecil disertai tidak nyaman di kandung kemih, bau urine menyengat, rasa ingin pipis terus",Infeksi Saluran Kemih
"Saya mengalami muntah, gangguan pencernaan, hilang nafsu makan, sakit perut, sering buang gas",Gastritis (Maag)
Gejala yang dialami: muntah serta lemas,Hipoglikemia (Gula Darah Rendah)
"Dok, saya merasa lemas dan haid tidak normal",Hipertiroid
Gejala yang dialami: menggigil serta muntah,TBC (Tuberkulosis)
"Saya mengalami muntah, sesak napas, berkeringat, sakit dada",Serangan Jantung
"Badan terasa muntah disertai sakit kepala, mual, hilang keseimbangan, tidak stabil",Vertigo
"Badan terasa lemas disertai berat badan naik, tangan dan kaki dingin, perubahan suasana hati, lesu, pusing, pembesaran tiroid, kuku rapuh, swollen extremeties, depresi, mudah marah, haid tidak normal",Hipotiroid
"Saya mengalami muntah, sakit kepala, lemah satu sisi tubuh, kesadaran berubah",Kelumpuhan (Pendarahan Otak)
"Badan terasa bercak di tenggorokan disertai demam tinggi, kontak seksual berisiko",HIV/AIDS
"Badan terasa muntah disertai sakit kepala, mual, berputar-putar, hilang keseimbangan",Vertigo
"Badan terasa sembelit disertai sakit saat buang air besar, sakit di daerah anus, buang air besar berdarah",Wasir/Ambeien
"Keluhan utama: itching, ruam kulit, benjolan merah di kulit",Infeksi Jamur
"Dok, saya merasa lemas dan dahak berlendir",Asma Bronkial
"Dok, saya merasa ruam kulit dan luka gores",Jerawat
"Keluhan utama: nyeri sendi, muntah, lemas, demam tinggi, kulit menguning, urine berwarna gelap, mual, hilang nafsu makan, sakit perut, mata menguning, koma, pendarahan lambung",Hepatitis E
"Dok, saya merasa lemas dan haid tidak normal",Hipotiroid
"Saya mengalami muntah, kulit menguning, mual, hilang nafsu makan, sakit perut, mata menguning",Kolestasis Kronis
"Saya mengalami ruam kulit, demam tinggi, melepuh, luka merah di sekitar hidung, cairan kuning mengeras",Impetigo
Gejala yang dialami: ruam kulit serta demam tinggi,Impetigo
"Badan terasa bersin terus menerus disertai menggigil, lemas, batuk, demam tinggi, kelenjar getah bening bengkak, tidak enak badan, dahak, iritasi tenggorokan, mata merah, tekanan sinus, hidung meler, hidung tersumbat, sakit dada, hilang penciuman, nyeri otot",ISPA/Influenza
"Saya mengalami asam lambung naik, gangguan pencernaan, sakit kepala, penglihatan kabur, rasa lapar berlebihan, leher kaku, depresi, mudah marah, gangguan pengelihatan",Migrain
"Badan terasa sakit perut disertai asam lambung naik, sariawan di lidah, batuk, sakit dada",GERD (Asam Lambung)
"Dok, saya merasa ruam kulit dan cairan kuning mengeras",Impetigo
"Saya mengalami sakit perut, asam lambung naik, sariawan di lidah, muntah, batuk, sakit dada",GERD (Asam Lambung)
"Badan terasa itching disertai ruam kulit, sakit perut, rasa terbakar saat buang air kecil, spotting  urination",Reaksi Obat/Alergi
"Keluhan utama: itching, lemas, lesu, kulit menguning, urine berwarna gelap, hilang nafsu makan, sakit perut, urine kuning pekat, mata menguning, tidak enak badan, menerima transfusi darah, menerima suntikan tidak steril",Hepatitis B
Gejala yang dialami: pengecilan otot serta bercak di tenggorokan,HIV/AIDS
"Pasien mengeluh itching, muntah, berat badan turun, demam tinggi, kulit menguning, urine berwarna gelap dan sakit perut",Penyakit Kuning
"Dok, saya merasa muntah dan diare",Gastroenteritis (Muntaber)
"Keluhan utama: sakit kepala, mual, berputar-putar, hilang keseimbangan, tidak stabil",Vertigo
"Pasien mengeluh ruam kulit, menggigil, muntah, lemas, demam tinggi, sakit kepala, mual, hilang nafsu makan, sakit di belakang mata, sakit punggung, tidak enak badan, nyeri otot dan bintik merah di seluruh tubuh",Demam Berdarah Dengue (DBD)
"Saya mengalami lemas, berat badan naik, tangan dan kaki dingin, perubahan suasana hati, lesu, pusing, wajah dan mata bengkak, pembesaran tiroid, kuku rapuh, swollen extremeties, depresi, mudah marah, haid tidak normal",Hipotiroid
"Badan terasa menggigil disertai muntah, demam tinggi, berkeringat, sakit kepala, mual, diare, nyeri otot",Malaria
Gejala yang dialami: nyeri sendi serta muntah,Hepatitis D
"Saya mengalami muntah, kulit menguning, sakit perut, perut membengkak, perut kembung, riwayat konsumsi alkohol, kelebihan cairan",Hepatitis Alkoholik
"Saya mengalami menggigil, muntah, lemas, berat badan turun, batuk, demam tinggi, sesak napas, berkeringat, hilang nafsu makan, demam ringan, mata menguning, kelenjar getah bening bengkak, tidak enak badan, dahak, sakit dada, batuk berdarah",TBC (Tuberkulosis)
"Badan terasa muntah disertai mata cekung, dehidrasi, diare",Gastroenteritis (Muntaber)
"Saya mengalami menggigil, muntah, demam tinggi, berkeringat, sakit kepala, mual, diare, nyeri otot",Malaria
"Keluhan utama: muntah, sesak napas, berkeringat, sakit dada",Serangan Jantung
Gejala yang dialami: menggigil serta lemas,Pneumonia (Radang Paru)
"Badan terasa ruam kulit disertai menggigil, nyeri sendi, muntah, lemas, sakit kepala, mual, hilang nafsu makan, sakit di belakang mata, sakit punggung, tidak enak badan, nyeri otot, bintik merah di seluruh tubuh",Demam Berdarah Dengue (DBD)
"Dok, saya merasa sakit kepala dan sulit berkonsentrasi",Hypertension
"Pasien mengeluh lemas, batuk, demam tinggi, sesak napas, riwayat keluarga dan dahak berlendir",Asma Bronkial
"Dok, saya merasa muntah dan kelebihan cairan",Hepatitis Alkoholik
"Dok, saya merasa bersin terus menerus dan mata berair",Alergi
Gejala yang dialami: muntah serta gangguan pencernaan,Gastritis (Maag)
"Keluhan utama: kram, memar, obesitas, kaki bengkak, pembuluh darah bengkak, urat menonjol di betis",Varises
"Saya mengalami sakit perut, asam lambung naik, sariawan di lidah, muntah, batuk, sakit dada",GERD (Asam Lambung)
"Keluhan utama: asam lambung naik, gangguan pencernaan, sakit kepala, penglihatan kabur, rasa lapar berlebihan, leher kaku, depresi, mudah marah, gangguan pengelihatan",Migrain
"Badan terasa nyeri sendi disertai muntah, lemas, demam tinggi, kulit menguning, urine berwarna gelap, mual, hilang nafsu makan, sakit perut, mata menguning, gagal hati akut, koma, pendarahan lambung",Hepatitis E
"Keluhan utama: pengecilan otot, bercak di tenggorokan, demam tinggi, kontak seksual berisiko",HIV/AIDS
"Badan terasa nyeri sendi disertai muntah, lemas, kulit menguning, urine berwarna gelap, mual, sakit perut, mata menguning",Hepatitis D
"Pasien mengeluh lemas, kram, memar, obesitas, kaki bengkak dan pembuluh darah bengkak",Varises
Gejala yang dialami: muntah serta sesak napas,Serangan Jantung
"Keluhan utama: muntah, lemas, cemas, berkeringat, sakit kepala, mual, penglihatan kabur, rasa lapar berlebihan, bibir kering dan kesemutan, bicara pelat, mudah marah, jantung berdebar",Hipoglikemia (Gula Darah Rendah)
"Keluhan utama: lemas, berat badan turun, gelisah, lesu, kadar gula tidak teratur, penglihatan kabur, obesitas, rasa lapar berlebihan, nafsu makan meningkat, sering buang air kecil",Diabetes
"Pasien mengeluh itching, ruam kulit, sakit perut, rasa terbakar saat buang air kecil dan spotting  urination",Reaksi Obat/Alergi
"Pasien mengeluh lemas, tangan dan kaki dingin, perubahan suasana hati, lesu, pusing, wajah dan mata bengkak, pembesaran tiroid, kuku rapuh, swollen extremeties, depresi, mudah marah dan haid tidak normal",Hipotiroid
Gejala yang dialami: itching serta muntah,Penyakit Kuning
"Dok, saya merasa muntah dan jantung berdebar",Hipoglikemia (Gula Darah Rendah)
"Saya mengalami muntah, kulit menguning, sakit perut, perut kembung, riwayat konsumsi alkohol, kelebihan cairan",Hepatitis Alkoholik
"Keluhan utama: sakit punggung, lemah anggota gerak, sakit leher, pusing, hilang keseimbangan",Saraf Leher Terjepit
"Pasien mengeluh ruam kulit, nyeri sendi, kulit mengelupas, sisik perak, lekukan kecil di kuku dan kuku meradang",Psoriasis
"Badan terasa muntah disertai sakit kepala, lemah satu sisi tubuh, kesadaran berubah",Kelumpuhan (Pendarahan Otak)
"Dok, saya merasa itching dan bintik merah di seluruh tubuh",Cacar Air
"Pasien mengeluh lemah otot, leher kaku, sendi bengkak, kaku saat bergerak dan sakit saat berjalan",Radang Sendi
Gejala yang dialami: menggigil serta lemas,Pneumonia (Radang Paru)
